Name,Graves Disease,Head Injury,Lymphocyte Counts,Eosinophil Counts,MedicationUseThyroidPreparation,Hypothyroidism,HashimotoThyroiditis,PediatricAsthma,MedicationUseGlucocorticoids,MedicationUseAdrenergicsInhalants,AtopicDermatitis,BasophilCount,MonocyteCount,AspartateAminotransferaseLevels,AcuteGlomeruloNephritis,CerebralAneurysm,SystolicBloodPressure,MeanArterialPressure,PulmonaryFibrosis,Pleurisy,ChronicHepatitisCInfection,MeanCorpuscularHemoglobin,MeanCorpuscularHemoglobinConcentration,MeanCorpuscularVolume,RedBloodCellCount,Hemoglobin,HemoglobinA1cLevels,PlateletCount,ChronicHeartFailure,MedicationUseAgentsActingOnTheReninAngiotensinSystem,UnstableAnginaPectoris,StableAnginaPectoris,MyocardialInfarction,DiastolicBloodPressure,Height,CompressionFracture,StevensJohnsonSyndrome,CesarianSection,GastricCancer,BreastCancer,BloodUreaNitrogenLevels,SerumCreatinineLevels,ProstateCancer,GammaGlutamylTranspeptidase,CalciumLevels,SerumUricAcidLevels,Type1Diabetes,Type2Diabetes,GlucoseLevels,MedicationUseDrugsUsedInDiabetes,ChronicPancreatitis,PolycysticKidneyDisease,BodyMassIndex,BackPain,MedicationUseAntiInflammatoryAndAntiRheumaticProductsNonSteroids,PulsePressure,MedicationUseCalciumChannelBlockers,AlanineAminotransferaseLevels,TotalCholestrolLevels
(Fetal) B Lymphocyte 2 CXCR5+,0.002886036,0.10421441,0.999999997,0.600870542,0.226396005,0.199690397,0.916584382,0.9995035,0.998851383,0.999848046,0.999976327,0.486630501,0.999999999,0.999912891,0.616825506,0.987743386,0.999992392,0.999997634,0.393116162,0.579851931,0.460332274,0.794532347,0.993901507,0.902335234,0.999999994,1,0.999945997,0.999999751,0.965786092,0.999993755,0.999942835,0.999915887,0.999999952,0.999996359,0.999994772,0.94532641,0.455295152,0.643119281,0.849147038,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.819587905,0.999997984,0.971981326,0.185005111,0.376612524,0.880558836,0.856345353,0.427426376,0.778103761,0.999999649,0.999998434,0.999920349
(Fetal) B Lymphocyte 1 SPIB+,0.025695109,0.321706158,0.999999997,1,0.928671222,0.999979046,0.998319619,0.9995035,0.998851383,0.999848046,0.999976327,0.303127428,0.833901428,0.999912891,0.082956718,0.600152866,0.999992392,0.999997634,0.443291246,0.508078187,0.227136553,0.325577881,0.993901507,0.236866174,0.999999994,1,0.999945997,0.999999751,0.935799186,0.999993755,0.999942835,0.999915887,0.999999952,0.999996359,0.999994772,0.961824777,0.85515763,0.643119281,0.93754563,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.437594495,0.999997984,0.796816195,0.242082612,0.345459306,0.797813026,0.685866903,0.405665209,0.929154628,0.999999649,0.999998434,0.999920349
(Fetal) T Lymphocyte 2 Cytotoxic,0.025695109,0.085229563,0.999999997,0.318996509,0.508866019,0.999979046,0.998319619,0.9995035,0.541124194,0.999848046,0.999976327,0.232218661,0.833901428,0.999912891,0.468292042,0.987743386,0.999992392,0.999997634,0.39701202,0.67148772,0.391022579,0.282354378,0.993901507,0.185688728,0.999999994,1,0.999945997,0.999999751,0.962787234,0.999993755,0.999942835,0.999915887,0.999999952,0.999996359,0.999994772,0.653464655,0.694883062,0.506660599,0.849147038,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.90036358,0.999997984,0.971981326,0.473407761,0.362348456,0.579702458,0.685866903,0.427426376,0.675433696,0.999999649,0.999998434,0.999920349
(Fetal) T Lymphocyte 3 IL2+,0.029243046,0.088217016,0.999999997,0.651264908,0.928671222,0.999979046,0.998319619,0.9995035,0.998851383,0.999848046,0.999976327,0.253540604,0.999999999,0.999912891,0.723356273,0.987743386,0.999992392,0.999997634,0.393116162,0.54140564,0.464707913,0.293778164,0.993901507,0.250562496,0.999999994,1,0.999945997,0.999999751,0.965786092,0.999993755,0.999942835,0.999915887,0.999999952,0.999996359,0.999994772,0.662826853,0.539509042,0.603659438,0.849147038,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.980602261,0.999997984,0.971981326,0.555638773,0.090771315,0.786729182,0.418948733,0.427426376,0.675433696,0.999999649,0.999998434,0.999920349
(Adult) Naive T,0.080765059,0.483277717,0.999999017,1,0.999990527,0.999771181,0.999904719,0.999884532,0.999999443,0.999117682,0.997181788,0.669172844,0.042978306,0.932740217,0.811749146,0.736197398,0.999879137,0.999309934,0.557789715,0.749877611,0.786392103,0.999939253,0.985071189,0.999892384,0.999993749,0.999999976,0.810557153,0.99999998,0.68617979,0.937255433,0.998668908,0.999957488,0.99974979,0.998718404,0.999993261,0.808812618,0.351492569,0.825122541,0.64681275,0.995288859,0.999989169,0.999990423,0.994119482,0.999015744,0.928361422,0.999987328,0.998983359,0.884083222,0.999503019,0.975886533,0.361935274,0.709350505,0.965863965,0.49843347,0.214430517,0.935592107,0.999956195,0.999510522,0.999945874
(Adult) Plasma B,0.028748491,0.119438365,0.049897443,0.769440406,0.999990527,0.999771181,0.999904719,0.999884532,0.999999443,0.999117682,0.997181788,0.998669273,0.999957643,0.932740217,0.850138806,0.68384747,0.999879137,0.999309934,0.769623896,0.749877611,0.9491926,0.999939253,0.985071189,0.999892384,0.999993749,0.999999976,0.867514516,0.99999998,0.947667692,0.937142063,0.998668908,0.999957488,0.99974979,0.998718404,0.376197529,0.302018863,0.69953428,0.60530909,0.253371579,0.95801957,0.999989169,0.999990423,0.994119482,0.999015744,0.999917836,0.999987328,0.998983359,0.930855304,0.999503019,0.975886533,0.161471896,0.601805232,0.965863965,0.954037343,0.869475448,0.687448567,0.999956195,0.999510522,0.999945874
(Adult) Mast,0.080765059,0.24346291,0.002579754,0.251215301,0.999990527,0.999771181,0.999904719,0.999884532,0.999999443,0.999117682,0.997181788,0.998669273,0.915884509,0.932740217,0.811749146,0.93455118,0.999879137,0.999309934,0.809645527,0.749877611,0.854723068,0.999939253,0.985071189,0.722521991,0.999993749,0.999999976,0.573866292,0.99999998,0.823241894,0.817231736,0.998668908,0.999957488,0.99974979,0.998718404,0.980044297,0.338788029,0.786543934,0.499071726,0.314057749,0.927011831,0.999989169,0.999990423,0.994119482,0.999015744,0.999917836,0.999987328,0.998983359,0.54631093,0.999503019,0.837349848,0.497706442,0.850220946,0.965863965,0.983090168,0.855491368,0.975021496,0.999956195,0.999510522,0.999945874
(Adult) Microglia,0.516716052,0.090840644,0.999999017,0.007056071,0.999990527,0.999771181,0.999904719,0.999884532,0.999999443,0.999117682,0.997181788,0.024475134,0.807259876,0.932740217,0.850138806,0.953287988,0.999879137,0.999309934,0.907906167,0.749877611,0.7306839,0.999939253,0.985071189,0.722521991,0.999993749,0.999999976,0.751238256,0.647709532,0.794462454,0.937142063,0.998668908,0.999957488,0.99974979,0.998718404,0.999993261,0.224810675,0.273834367,0.60530909,0.27008961,0.995288859,0.999989169,0.999990423,0.864239581,0.999015744,0.999917836,0.999987328,0.998983359,0.964114412,0.999503019,0.975886533,0.161471896,0.430741413,0.965863965,0.778905438,0.501166045,0.687448567,0.999956195,0.999510522,0.999945874
(Fetal) T Lymphocyte 1 CD4+,0.002886036,0.131113955,0.614599354,0.093456802,0.007116424,0.004631387,0.130419633,0.236459098,0.010622761,0.999848046,0.999976327,0.251258426,0.999999999,0.999912891,0.468292042,0.987743386,0.999992392,0.999997634,0.393116162,0.579851931,0.29075764,0.632157945,0.993901507,0.5775908,0.999999994,1,0.999945997,0.999999751,0.935799186,0.999993755,0.999942835,0.999915887,0.999999952,0.999996359,0.999994772,0.662826853,0.773365458,0.603659438,0.859444456,0.999524326,0.999977492,1,0.998197384,0.999967953,0.999999802,0.999992186,0.996111174,0.980602261,0.999997984,0.971981326,0.516577232,0.174020698,0.639237425,0.556351671,0.674302148,0.442047391,0.999999649,0.999998434,0.999920349
(Adult) Macrophage General/Alveolar,0.053288607,0.190079139,0.00077683,0.260550275,0.013136931,0.079477805,0.370443861,0.999884532,0.999999443,0.999117682,0.997181788,0.998669273,0.928182507,0.932740217,0.811749146,0.76474305,0.999879137,0.999309934,0.63510973,0.749877611,0.844678597,0.999939253,0.985071189,0.999892384,0.999993749,0.999999976,0.350851566,0.99999998,0.956562909,0.937142063,0.998668908,0.999957488,0.99974979,0.998718404,0.999993261,0.495550194,0.597515165,0.326284243,0.610973069,0.927011831,0.999989169,0.999990423,0.994119482,0.999015744,0.999917836,0.999987328,0.996737869,0.558528588,0.999503019,0.837349848,0.474386641,0.643832549,0.965863965,0.903163936,0.768037188,0.856547062,0.999956195,0.999510522,0.999945874
